Energy,,,,,,,,,,,,,,Jackson's Connections,Amy's Connections
Module-level Learning Objectives,Label,Student Content Interaction,,,,,,,,Assessment,,,,,
,,Lecture,Demo,Slides,Videos,TPS,Reading,Lab,Discuss,HW,Quiz,Midterm II,Lab,,
Calculate the kinetic energy of a particle given its mass and its velocity,A,x,,x,,,x,x,x,x,x,,,,"5D, 5E, 6E, 6F, 6G, 6H, 6I, 7F, 7G, 8N"
Calculate the gravitational potential energy for an object near Earth's surface given its mass and location.,B,x,,x,,,x,x,x,x,x,,,,"5D, 5E, 5F, 6E, 6F, 6G, 6I "
Calculate the spring potential energy for a mass on a compressed or stretched spring with a given spring constant.,C,x,x,x,,,x,x,x,x,x,,x,,"5D, 5E, 5F"
Recognize that conservation of mechanical energy is theoretically absolute.,D,x,,,,,x,x,,,x,,x,,"5A, 5B, 5C, 5E, 5F, 6H, 7F, 7G, 8N"
Use the conservation of mechanical energy to calculate various properties of simple systems.,E,x,,x,x,,,x,x,x,,x,,,"5A, 5B, 5C, 5E, 5F, 6H, 7F, 7G, 8N"
Recognize forces as either conservative or non-conservative forces.,F,x,,,,x,x,x,,x,x,,,,"5D, 5E, 6E, 6F, 6G, 6H, 7G"
