Momentum,,,,,,,,,,,,,,Jackson's Connections,Amy's Connections
Module-level Learning Objectives,Label,Student Content Interaction,,,,,,,,Assessment,,,,,
,,Lecture,Demo,Slides,Videos,TPS,Reading,Lab,Discuss,HW,Quiz,Midterm II,Lab,,
Relate the momentum of an object to the velocity vector and mass.,A,x,,x,,,x,x,x,x,x,,,,"7B, 7D, 7E, 7G, 10D, 10E"
Determine the direction of an object's momentum.,B,x,,x,,,x,,,x,x,,,,"7D, 7E, 10B, 10D"
Identify objects as being either internal or external to a system.,C,x,,x,,x,,x,,,x,,x,,"7D, 7E, 7F, 7G, 10E"
Determine the impulse delivered to an object from the average applied force and duration of the force.,D,x,,,,,,,x,x,x,,,,"7A, 7B, 7C, 10E"
Use conservation of momentum in one-dimension to solve for an unknown parameter from either before or after a collision.,E,,,,x,,,x,x,x,,x,,,"7A, 7B, 7C, 7F, 7G, 10E"
Identify whether a collision is elastic or inelastic.,F,,x,,,x,,x,,x,x,,x,,"7C, 7D, 7G, 10E"
Specify condition under which both momentum and kinetic energy of a system are conserved.,G,,x,,,,,x,,,x,,x,,"7E, 7F, 10E"
