Light as an Electromagnetic Wave,,,,,,,,,,,,,,,6C Connections
Module-level Learning Objectives,Label,Student Content Interaction,,,,,,,,,Assessment,,,,
,,Lecture,Demo,Example,Videos,TPS,PhET,Reading,Lab,Discuss,HW,Quiz,Final,Lab,
"Describe the electric and magnetic fields in an electromagnetic wave, and relate them to the direction of wave propagation and to its other physical properties.",A,x,,,x,,x,x,,,,x,,,"11B, 11C, 11D, 11E"
Utilize the relationship between the electric and magnetic fields of an electromagnetic wave to solve for the magnitude of either the electric or magnetic field strengths.,B,,,x,,,,x,,x,x,,x,,"11A, 11C, 11D, 11E"
Calculate the intensity of an electromagnetic wave from the magnitude of its electric or magnetic field.,C,,,x,x,,,x,,x,x,x,,,"11A, 11B, 11D, 11E"
Explain the meaning of unpolarized and polarized light; state what field oscillates in the plane of polarization.,D,x,,,,,x,x,,,,x,,,"11A, 11B, 11C, 11E"
Use Malus's law to relate the final intensity and the final plane of polarization of light to the orientation of polarizing filters and to the original light intensity and original plane of polarization.,E,,,x,,,x,x,,x,x,x,,,"11A, 11B, 11C, 11D"
