Angular Momentum,,,,,,,,,,,,,,Jackson's Connections,Amy's Connections
Module-level Learning Objectives,Label,Student Content Interaction,,,,,,,,Assessment,,,,,
,,Lecture,Demo,Slides,Videos,TPS,Reading,Lab,Discuss,HW,Quiz,Final,Lab,,
Relate the angular velocity vector to the direction of rotation using the right-hand rule.,A,x,x,x,,x,x,,x,x,,,,,"10B, 10D, 10E"
Identify the direction of an angular momentum vector for a rotating object.,B,x,x,,,,x,,,x,x,,,,"10A, 10D, 10E"
Calculate an object’s angular momentum from its angular speed and rotational inertia.,C,x,,x,,,x,,x,x,x,,,,"10D, 10E"
Solve for a point source's angular momentum from its velocity vector and relative location from a pivot point.,D,x,,x,,,x,,x,x,x,,,,"10A, 10B, 10C, 10E"
Use conservation of angular momentum to solve a problem.,E,,x,,x,,,,x,x,,x,,,"10A, 10B, 10C, 10D"
