Electric Field Model,,,,,,,,,,,,,,,6C Connections
Module-level Learning Objectives,Label,Student Content Interaction,,,,,,,,,Assessment,,,,
,,Example,Demo,Slides,Videos,TPS,PhET,Reading,Lab,Discuss,HW,Quiz,Midterm,Lab,
Describe the electric field model as an alteration of space due to the presence of a charged particle.,A,,x,x,,x,x,x,,,,,,x,"2B, 2C, 2D, 2E, 2F, 2G, 2H, 3B, 3C, 3D, 3E, 3F, 3H, 3I, 4E, 4F, 4I, 4J, 7H, 8A, 10C, 10D, 11A, 11B, 11C, 11D"
Describe the direction of electric field lines near a point charge. ,B,,,,x,x,,,,,x,,,,"2A, 2C, 2D, 2E, 2F, 2G, 2H, 3B, 3C, 3D, 3E, 3G, 3H, 4F, 4G, 4I, 7H, 10B, 10C "
Infer from a figure illustrating electric field lines the relative strength of the electric field at points in the figure. ,C,x,,,,,,x,,,,x,,,"2A, 2B, 2E, 2F, 2G, 2H, 3D, 3H, 4G, 4H, 4I, 4K, 7H, 9B, 9F, 10G, 11A"
Describe the strength of the electric field inside of a conductor.,D,x,,x,x,x,,x,,,x,x,,,"2A, 2B, 2C, 2G, 2H, 4J, 5F, 10B, 10C, 10D"
Calculate the strength and direction of the electric field any distance away from a point charge.,E,x,,x,x,,,x,,x,x,x,,,"2A, 2B, 2C, 2F, 2G, 2H, 3A, 3B, 3C, 3D, 3E, 3G, 3H, 4I "
Calculate the charge of a particle that produces an electric field at a given distance from the particle.,F,x,,x,,,,x,,,x,,x,,"2A, 2B, 2C, 2E, 2G, 2H, 3A, 3B, 3C, 3D, 3E, 3G, 3H, 4I "
Determine the directions of the individual fields that several point charges produce at a given point in space.,G,x,x,,,,,,x,x,x,x,,,"2A, 2B, 2C, 2F, 2E, 2F, 2H, 3A, 3B, 3C, 3D, 3E, 3G, 3H, 4I "
Determine at a given point in space the magnitude and direction of the net electric field produced by one or more point charges. ,H,x,,,x,x,x,x,,x,x,2D,1D,,"2A, 2B, 2C, 2F, 2E, 2F, 2G, 3A, 3B, 3C, 3D, 3E, 3G, 3H, 4I "
